evidence_tier,model_use,publisher,source_id,title,url,year
B,Mobility exposure or endpoint parameter,BMV / BASt,src_01,Mobilität in Deutschland 2023,https://mobilitaet-in-tabellen-2023.bast.de/,
B,Mobility exposure or endpoint parameter,Destatis,src_02,Straßenverkehrsunfälle,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Verkehrsunfaelle/_inhalt.html,
B,Mobility exposure or endpoint parameter,BASt,src_03,Traffic and Accident Data Germany,https://www.bast.de/EN/Publications/Media/Traffic-and-Accident-Data.html,
B,Mobility exposure or endpoint parameter,Europäische Kommission,src_04,CARE und ERSO,https://road-safety.transport.ec.europa.eu/european-road-safety-observatory/data-and-analysis_en,
B,Mobility exposure or endpoint parameter,WHO,src_05,Road safety data systems manual,https://www.who.int/publications/i/item/9789241598965,
B,Mobility exposure or endpoint parameter,ICAO,src_06,Annual Safety Reports,https://www.icao.int/safety-reports,
